"Hauptdiagnose","Estimate","Std. Error","df","t value","CI 2.5%","CI 97.5%","lower.tail.p","fdr","y.sig","y.no","Sig","CID.status","N"
"AxSpA","0.004","0.017","1700","0.24","-0.029","0.037","0.595023851956364",0.644609172952728,55.1,47.9,"italic('0.64')","CID",112
"CD","-0.031","0.011","2800","-2.7","-0.054","-0.0087","0.00334565383489568",0.0108733749634109,51.9,45.4,"*","CID",445
"CTD","-0.01","0.021","1500","-0.48","-0.052","0.031","0.313918101636772",0.408093532127804,55.92,48.26,"italic('0.41')","CID",22
"Control","1.7","0.01","3800","170","1.7","1.7",NA,NA,54.48,49.48,NA,"Control",291
"GCA","-0.012","0.015","2100","-0.79","-0.041","0.017","0.215562137801047",0.31136753237929,53.3,46.9,"italic('0.31')","CID",85
"PMR","-0.017","0.02","2000","-0.83","-0.057","0.023","0.203792825935126",0.31136753237929,52.6,45.205,"italic('0.31')","CID",46
"PsA","0.006","0.014","1800","0.41","-0.022","0.034","0.660128435178955",0.660128435178955,55.92,48.745,"italic('0.66')","CID",108
"Pso","0.0031","0.016","2100","0.19","-0.029","0.035","0.57420737009309",0.644609172952728,55.4,48.53,"italic('0.64')","CID",156
"RAneg","-0.011","0.013","2300","-0.84","-0.035","0.014","0.201315399054819",0.31136753237929,53.7,46.595,"italic('0.31')","CID",168
"RApos","-0.012","0.011","2900","-1.1","-0.035","0.01","0.145630302909818",0.31136753237929,54.5,47.3,"italic('0.31')","CID",351
"SLE","-0.035","0.012","2400","-2.8","-0.06","-0.011","0.00243670434334695",0.0105590521545034,52,45.21,"*","CID",131
"SSc","-0.035","0.036","1100","-0.98","-0.11","0.035","0.163340171404948",0.31136753237929,50.06,43.4,"italic('0.31')","CID",8
"SjS","-0.067","0.021","1500","-3.1","-0.11","-0.025","0.000866567622081234",0.00563268954352802,51.04,44.27,"**","CID",22
"UC","-0.052","0.012","2500","-4.2","-0.076","-0.028","1.44171959369939e-05",0.00018742354718092,51.48,44.805,"***","CID",295
